battery_id,cycle_index,discharge_capacity,max_temperature,avg_voltage_load,time_to_discharge,soh
B0006,1,2.035337591005598,39.16298653238707,3.556946061827572,3690.234,1.0
B0006,2,2.0251402460314116,39.2462026826329,3.56147580138708,3672.344,0.9949898508143074
B0006,3,2.013326371345464,38.999202460252846,3.5667524696413215,3651.641,0.9891854698908897
B0006,4,2.0132846655407413,38.843627771866515,3.5687953371516272,3631.563,0.9891649790372313
B0006,5,2.000528337624771,38.97798888258284,3.563970503289941,3629.172,0.9828975529491258
B0006,6,2.0138990759931645,38.83989920742278,3.5735512387791406,3652.281,0.989466850557287
B0006,7,2.013101105626967,39.04610837498471,3.5711391343785897,3650.828,0.98907479256665
B0006,8,1.9687898262728398,38.87507521022778,3.5681507462163036,3572.453,0.9673038197560735
B0006,9,1.9681661764334244,38.7260539826455,3.5692834155812436,3550.594,0.9669974087497759
B0006,10,1.9572307917560536,38.98629728904917,3.563388513484579,3551.25,0.9616246466459876
B0006,11,1.9455991514129352,38.65978861919643,3.566658719765511,3530.25,0.9559098009149796
B0006,12,1.9347505044841131,38.84979195732924,3.5687035970122842,3491.016,0.9505796547137972
B0006,13,1.9232799539368028,38.75128344015104,3.569207084156356,3470.281,0.9449439554578114
B0006,14,1.911889930948487,38.76853764058789,3.5659271296109383,3470.0,0.939347820920401
B0006,15,1.9010667141979305,38.84686112344348,3.5612417270649486,3450.297,0.9340301690486008
B0006,16,1.8891989948061458,38.865889781652804,3.557881987836072,3429.407,0.9281993331989463
B0006,17,1.878278372248849,38.647578733807656,3.56282437243777,3409.484,0.9228338240050139
B0006,18,1.8675697161520206,38.79218188173866,3.5591953280168633,3390.422,0.9175724579573611
B0006,19,1.8675892574453767,38.77022223929529,3.5580906165580983,3390.281,0.9175820589657847
B0006,20,1.979626548250818,37.54320599748628,3.565899462157853,3591.734,0.9726281070025072
B0006,21,1.9575499080884022,37.90362577530197,3.570814209348872,3552.297,0.9617814345585967
B0006,22,1.9458150170787551,37.6701605139887,3.5666817833633124,3531.578,0.956015859814876
B0006,23,1.9242461121680094,37.34166959188387,3.5668392745025836,3492.907,0.945418647339628
B0006,24,1.9459811331421641,37.28979017254232,3.571051969392875,3511.594,0.9560974757905958
B0006,25,1.901407930553079,37.16794481484507,3.5666308474029793,3431.9370000000054,0.9341978151219875
B0006,26,1.878674213680085,37.51577848501052,3.5527392240854914,3431.125,0.923028308415357
B0006,27,1.8683061328264219,37.24165964092258,3.5560959755046615,3412.406,0.9179342734506019
B0006,28,1.8560244070082998,37.27233216178077,3.5504500858303394,3410.688,0.9119000283836427
B0006,29,1.8451997961855777,37.207134503019795,3.546007083640312,3410.718,0.9065816915777205
B0006,30,1.857228890885317,37.49607769896255,3.554257954720065,3392.719,0.9124918141799352
B0006,31,1.9247760889090635,37.250073961181094,3.555857469677978,3470.672,0.9456790349742867
B0006,32,1.8822317526092551,37.39699052067588,3.5537306734803207,3414.109,0.9247761948322795
B0006,33,1.855276687885587,37.2852066420257,3.5452650003621513,3395.219,0.9115326597829658
B0006,34,1.8392508917181876,37.080390421974414,3.538408778928339,3386.0,0.9036588818710266
B0006,35,1.8185396073994429,36.98024266357476,3.5297688311332673,3368.187,0.8934830346748316
B0006,36,1.8134770059567056,37.598741245467004,3.5300676840423306,3368.266,0.8909956824708977
B0006,37,1.7971018450305436,37.33680914521836,3.5248882875629555,3358.719,0.8829502550201761
B0006,38,1.7810046294120476,37.39499820465976,3.5190926887152725,3339.5,0.8750413873759919
B0006,39,1.7710130422682329,37.35233964342659,3.5151810230271,3331.265,0.8701323309187394
B0006,40,1.7604712448170943,37.58677381866742,3.514029112834162,3321.188,0.864952945691579
B0006,41,1.7502913788006587,38.207044569893476,3.514139684003936,3321.844,0.859951384249673
