battery_id,cycle_index,type,discharge_capacity,soh,avg_voltage_load,min_voltage_load,max_temperature,avg_temperature,time_to_discharge,internal_resistance,re,rct
B0005,1,discharge,1.8564874208181574,0.9282437104090787,3.5298286688693397,2.612467347907089,38.98218133148803,32.572328114029,3690.234,3.170118984836975,0.04466870036616091,0.06945627304536996
B0005,3,discharge,1.846327249719927,0.9231636248599635,3.5373201277859714,2.587208728940726,39.033397966787035,32.72523522519307,3672.344,9.802397940128616,0.04466870036616091,0.06945627304536996
B0005,5,discharge,1.8353491942234077,0.9176745971117038,3.5437367282719,2.6519168938437794,38.818796689817404,32.64286193755933,3651.641,15.960668676219488,0.04466870036616091,0.06945627304536996
B0005,7,discharge,1.8352625275821128,0.9176312637910564,3.5436661072601456,2.592947964776547,38.7623045063458,32.51487646204882,3631.563,11.11478184112607,0.04466870036616091,0.06945627304536996
B0005,9,discharge,1.8346455082120419,0.9173227541060209,3.5423432526672167,2.547419651124539,38.66539257343368,32.38234901543077,3629.172,3.9891720076519124,0.04466870036616091,0.06945627304536996
B0005,11,discharge,1.8356616600675495,0.9178308300337747,3.5413347346347575,2.5209480504077413,38.75169504640032,32.43418218230641,3652.281,9.508930831086769,0.04466870036616091,0.06945627304536996
B0005,13,discharge,1.8351461429226603,0.9175730714613302,3.5410250495075215,2.487927319492314,38.8207012322275,32.480416444757985,3650.828,2.4886274983246857,0.04466870036616091,0.06945627304536996
B0005,15,discharge,1.8257567905665537,0.9128783952832769,3.554133296801584,2.6652049047458775,38.51713023385634,32.41046186109587,3572.453,3.706711343523923,0.04466870036616091,0.06945627304536996
B0005,17,discharge,1.8247738529891333,0.9123869264945667,3.5529355991467955,2.6038584726333673,38.526267904657,32.3461408313,3550.594,12.601165238571062,0.04466870036616091,0.06945627304536996
B0005,19,discharge,1.824613268496936,0.912306634248468,3.5512057319376997,2.552853984885676,38.52698128472781,32.27679750791685,3551.25,9.532599716727004,0.04466870036616091,0.06945627304536996
B0005,21,discharge,1.8246195526864504,0.9123097763432252,3.549292319740949,2.4724483018527317,38.54143406601644,32.15709350345252,3530.25,6.037311070852382,0.04466870036616091,0.06945627304536996
B0005,24,discharge,1.8142019357673917,0.9071009678836959,3.559759220648976,2.64956413267546,38.52197451768004,32.36407129853099,3491.016,5.934749168226179,0.04466870036616091,0.06945627304536996
B0005,26,discharge,1.8137521577549054,0.9068760788774527,3.558081969139198,2.5724981777366227,38.582485834057856,32.3181954403762,3470.281,3.1276820370988467,0.04466870036616091,0.06945627304536996
B0005,28,discharge,1.8134404914735822,0.9067202457367911,3.555692244172496,2.5249886697730286,38.520294134873915,32.15709029211502,3470.0,14.2029269111104,0.04466870036616091,0.06945627304536996
B0005,30,discharge,1.8025980036306504,0.9012990018153252,3.562746818017503,2.694621861688723,38.21358592965045,32.04407000314609,3450.297,3.8760273670325858,0.04466870036616091,0.06945627304536996
B0005,32,discharge,1.80210690024615,0.901053450123075,3.5614521756489204,2.64010141737067,38.1983618706913,31.931593674911532,3429.407,4.875492767763629,0.04466870036616091,0.06945627304536996
B0005,34,discharge,1.802579500826209,0.9012897504131046,3.5603420474985823,2.5739035098380962,38.31926916027133,31.941655359029298,3409.484,2.2375503685521014,0.04466870036616091,0.06945627304536996
B0005,36,discharge,1.8030683142834096,0.9015341571417048,3.5591189041401865,2.4942396831720126,38.4787542519308,31.965008645476725,3390.422,8.27856967563433,0.04466870036616091,0.06945627304536996
B0005,38,discharge,1.8027776247196041,0.9013888123598021,3.557886771846508,2.4556793246645583,38.54659017774874,31.966241678512723,3390.281,2.974026244701983,0.04466870036616091,0.06945627304536996
B0005,41,discharge,1.8470259949329193,0.9235129974664597,3.5520375235511907,2.632142800798914,38.44749852224995,32.37143341978575,3591.734,4.660872104353195,0.04466870036616091,0.06945627304536996
B0005,45,discharge,1.847417311283644,0.923708655641822,3.5525668436897124,2.5027764692056795,38.992275791716615,32.70024990461686,3552.297,2.0151976301811123,0.044843430573346096,0.0679720560130687
